name,label,feature
64,tensor(64),"[0.4601881842774119, 0.12944530498988657]"
65,tensor(65),"[0.643538828278619, 0.11643666147438622]"
66,tensor(66),"[-1.37526467573592, -1.1747893161525806]"
67,tensor(67),"[0.7987129315245859, 0.13994233321676186]"
68,tensor(68),"[0.616854957972922, 1.3263115534219474]"
69,tensor(69),"[0.6139808175573279, 0.034593483764391336]"
70,tensor(70),"[0.9493965762556275, 1.1403619978266433]"
71,tensor(71),"[0.7299987663862342, 1.1958753412843732]"
72,tensor(72),"[-1.5854750899197647, -1.2709424731898487]"
73,tensor(73),"[0.7663855329609017, 1.324123910825527]"
74,tensor(74),"[0.7171057221900448, 1.1916130624129115]"
75,tensor(75),"[1.1189305772823854, 1.1498425728615935]"
76,tensor(76),"[-1.4484884486076244, -1.1811407040210729]"
77,tensor(77),"[-1.377886272422078, -1.2624696163538496]"
78,tensor(78),"[-1.5211129587931553, -1.004834593627472]"
79,tensor(79),"[-1.5252364556364546, -0.9356057380356505]"
80,tensor(80),"[0.9336518410837573, 1.0913898598550953]"
81,tensor(81),"[0.5638562412916874, -0.00991246971103157]"
82,tensor(82),"[0.9898171101863138, 1.1969306427383888]"
83,tensor(83),"[-1.3852745342041886, -1.3108435629888742]"
84,tensor(84),"[-1.4117573182798584, -1.3702162459150162]"
85,tensor(85),"[0.818928151980465, 0.39216163062508935]"
86,tensor(86),"[-1.4648014641014908, -1.0145916113282545]"
87,tensor(87),"[0.5394449200343167, 0.011889407751141733]"
88,tensor(88),"[0.6880194202039023, -0.2528975554659365]"
89,tensor(89),"[0.5598803035766776, 0.09231322764312937]"
90,tensor(90),"[0.7309953238974484, 1.3375238520664743]"
91,tensor(91),"[0.9171702184286845, -0.04874912204991727]"
92,tensor(92),"[0.6652441029156835, 0.26123555994125125]"
93,tensor(93),"[0.7671038987499373, 1.2161161181054205]"
94,tensor(94),"[0.7936378953029369, 0.9993189168558947]"
95,tensor(95),"[0.5783946104563137, 0.9597338367651157]"
96,tensor(96),"[0.6832787259941283, 1.2223733201675324]"
97,tensor(97),"[-1.4212477934887013, -1.125547520583617]"
98,tensor(98),"[-1.234640691717784, -1.2163607106315715]"
99,tensor(99),"[0.552420458756502, 0.00969409083730335]"
100,tensor(100),"[0.9677399067606015, 1.2570455966980436]"
101,tensor(101),"[0.7356109576071141, 1.1780980452344583]"
102,tensor(102),"[0.93274526358037, 0.17419229684914064]"
103,tensor(103),"[-1.4575171977189285, -1.4969097380086334]"
104,tensor(104),"[-1.2786192050016008, -1.1085649444760501]"
105,tensor(105),"[-1.3478509811496737, -1.143289194018495]"
106,tensor(106),"[-1.0603503813128958, -1.2545807446798236]"
107,tensor(107),"[0.5133767614981877, 0.17834569460842015]"
108,tensor(108),"[-1.0340557834277664, -1.2676467391119126]"
109,tensor(109),"[0.770101375946193, 0.04485667370714794]"
110,tensor(110),"[0.7200647999741401, 0.00796212096611175]"
111,tensor(111),"[-1.2167685806994244, -1.2540781645589993]"
112,tensor(112),"[-1.3552305160075968, -1.350446049042366]"
113,tensor(113),"[0.4454860912114892, 0.0697684623249694]"
114,tensor(114),"[0.7121870084741285, 1.0514334324330195]"
115,tensor(115),"[0.5898961318119622, 0.24863751961004282]"
116,tensor(116),"[0.9105368676548456, 0.02570867052070581]"
117,tensor(117),"[-1.2751881155672036, -1.1295270590826985]"
118,tensor(118),"[0.31771185227252047, 1.3151113973636872]"
119,tensor(119),"[-1.3802908551042208, -1.3147758205029594]"
120,tensor(120),"[0.8191002114173556, 0.04928723257354787]"
121,tensor(121),"[0.496396374089384, 1.0835418604332852]"
122,tensor(122),"[0.790064558769501, 1.020544947072835]"
123,tensor(123),"[0.7777707168891239, -0.07088772188241634]"
124,tensor(124),"[-1.7946284294703734, -1.1735205900493797]"
125,tensor(125),"[0.940708211585719, -0.06602950708500532]"
126,tensor(126),"[1.1308764976570085, 1.3146114518592469]"
127,tensor(127),"[0.9629313800870006, 1.2143040132482743]"
128,tensor(128),"[-1.2581488908626832, -1.1856106460041789]"
129,tensor(129),"[0.5021771106308095, -0.026055332231918773]"
130,tensor(130),"[0.6787741175118667, 1.2319770854689702]"
131,tensor(131),"[-1.3040729865596548, -1.3893333063813795]"
132,tensor(132),"[0.40900865822547716, 1.2199581718900294]"
133,tensor(133),"[0.8678686371413933, 0.024713539487945288]"
134,tensor(134),"[-1.409278632244015, -1.2922159964891249]"
135,tensor(135),"[0.7028834669813289, 0.04698338600073084]"
136,tensor(136),"[0.8525039782637488, 1.207550687791927]"
137,tensor(137),"[0.8534397606218044, 1.1391794183599213]"
138,tensor(138),"[0.727789340820759, 1.4069390593226274]"
139,tensor(139),"[0.7864748982212841, 0.07710738787756657]"
140,tensor(140),"[0.7998190058959134, 1.2699271879365708]"
141,tensor(141),"[0.1959574580671915, 1.3132714143380357]"
142,tensor(142),"[0.47506841954545226, 1.2890559380388071]"
143,tensor(143),"[-1.4785762073823308, -1.239589055485001]"
144,tensor(144),"[0.7191694688946481, 0.24045947760424322]"
145,tensor(145),"[0.9921107729756601, 1.29631861614298]"
146,tensor(146),"[0.7385724237173624, 1.0830200218024102]"
147,tensor(147),"[-1.2376717418450274, -1.3160713433662259]"
148,tensor(148),"[0.9049513576472958, 0.1803987801767321]"
149,tensor(149),"[0.37822065539611255, 0.1807339578112079]"
150,tensor(150),"[0.7271591806660225, -0.0876962371735359]"
151,tensor(151),"[0.474144107134321, -0.08810691880881485]"
152,tensor(152),"[0.6456015537926144, 0.0764792111805444]"
153,tensor(153),"[0.7144366359722906, 0.050497806112863176]"
154,tensor(154),"[0.6496825245843012, 1.0679295001192175]"
155,tensor(155),"[-1.6342804170266658, -1.2644925988414821]"
156,tensor(156),"[0.5127271496357534, 1.2223974707094252]"
157,tensor(157),"[0.460695188893583, 1.3129330402160513]"
158,tensor(158),"[0.7706410795386225, 1.0475330927397493]"
159,tensor(159),"[-1.6431066928339364, -1.07258416663252]"
160,tensor(160),"[-1.5587085868631034, -1.3311011529295187]"
161,tensor(161),"[0.7410541465956054, -0.26225934713634114]"
162,tensor(162),"[-1.4796395398951743, -1.1665147651820313]"
163,tensor(163),"[0.6744078555298059, 0.11414490796450245]"
164,tensor(164),"[1.0165067865576627, -0.1055779529235004]"
165,tensor(165),"[0.5481690942942914, -0.010039008160323618]"
166,tensor(166),"[0.5523215102996826, -0.06354325778213751]"
167,tensor(167),"[0.772994462658324, -0.03586640099801618]"
168,tensor(168),"[0.6572581873378852, -0.10944987036834]"
169,tensor(169),"[0.7598142991982034, 0.17324455166037953]"
170,tensor(170),"[0.7000687476347041, 1.1089353630491863]"
171,tensor(171),"[-1.1134646148658087, -1.3507071866457347]"
172,tensor(172),"[-1.471024959593651, -1.1204956742662744]"
173,tensor(173),"[-1.3045882124649668, -1.3896912870044476]"
174,tensor(174),"[-1.3082550228897356, -1.3286164759982522]"
175,tensor(175),"[-1.4947008882476982, -1.2818896126114578]"
176,tensor(176),"[0.5171696698005336, 1.4119634411013628]"
177,tensor(177),"[0.7101972991513109, -0.24175582981883412]"
178,tensor(178),"[0.7016017148806267, 1.0996965831509202]"
179,tensor(179),"[0.7055977413983427, 0.15424781692302608]"
180,tensor(180),"[-1.5577302318923423, -1.3299090483234743]"
181,tensor(181),"[0.5581675953128057, 1.179236454886777]"
182,tensor(182),"[0.33396124634072577, 1.474656200018995]"
183,tensor(183),"[0.37391555470299853, 0.014850612395992998]"
184,tensor(184),"[-0.9881012380078044, -1.2448290412901655]"
185,tensor(185),"[-1.3209370990853415, -1.3746822981590308]"
186,tensor(186),"[0.8230162939581942, 0.11260793031052177]"
187,tensor(187),"[0.682111743263357, 0.9461954197950049]"
188,tensor(188),"[-1.6103625240697896, -1.343943691499511]"
189,tensor(189),"[0.7329892172886654, 0.9968604663375122]"
190,tensor(190),"[-1.507486719746091, -1.165630060206263]"
191,tensor(191),"[-1.4059492615486588, -1.2185263138509252]"
192,tensor(192),"[0.8294525408027565, 1.01594310057657]"
193,tensor(193),"[-1.2082635440967924, -1.1280717073618491]"
194,tensor(194),"[0.6208593141324469, 1.0766861533018264]"
195,tensor(195),"[0.7574155865415235, 0.0888447396167565]"
196,tensor(196),"[0.47173474357169026, 0.05761374667512335]"
197,tensor(197),"[0.6746817884495061, 0.928926346290712]"
198,tensor(198),"[0.8427868864868847, 1.2925488734398372]"
199,tensor(199),"[-1.2302846451687293, -0.9811237458477499]"
