name,label,feature
32,tensor(32),"[-0.9513267272172248, 0.05908241407049623]"
33,tensor(33),"[0.6662117301372267, 0.6306487109624728]"
34,tensor(34),"[0.3396794763249174, 1.8030592433380306]"
35,tensor(35),"[0.6283928151862235, -0.5306604309625659]"
36,tensor(36),"[-0.1421575338448241, 0.9783416994666192]"
37,tensor(37),"[1.6923006144941977, 0.3913530734513958]"
38,tensor(38),"[0.9265365903573122, -1.5013228068087343]"
39,tensor(39),"[0.7349544709858731, 0.40778583360954596]"
40,tensor(40),"[-0.425846097273948, 0.6723947606095827]"
41,tensor(41),"[-0.8463799456667372, -1.5238082126301682]"
42,tensor(42),"[-0.15183040743441997, 1.7388607874395359]"
43,tensor(43),"[0.6550801726890105, 0.5901370079656827]"
44,tensor(44),"[-0.38553612572168916, -0.825486624493609]"
45,tensor(45),"[-1.1475760453494246, -1.22479822250195]"
46,tensor(46),"[1.6688208615077402, 0.7510204251038924]"
47,tensor(47),"[0.01440105337716774, -1.8530917272057295]"
48,tensor(48),"[0.3934618892676889, 0.6842724750477212]"
49,tensor(49),"[-0.6822027968521216, 0.41082756919547603]"
50,tensor(50),"[-0.5601260394213572, -1.6889169214429924]"
51,tensor(51),"[0.1555023611968997, 0.8763949724451228]"
52,tensor(52),"[0.6522326451272888, -0.7638406602140179]"
53,tensor(53),"[1.9383774780118113, -0.3496799443396689]"
54,tensor(54),"[-0.7805179904451521, 0.05152642897262864]"
55,tensor(55),"[0.1724551244018804, 1.719283618603799]"
56,tensor(56),"[-0.6033769939359652, 1.5549841477098982]"
57,tensor(57),"[-0.8760938343802838, -0.5838416598978072]"
58,tensor(58),"[-1.5327972798543235, 1.0236430171780555]"
59,tensor(59),"[-1.6689373305665283, -0.6362629884268853]"
60,tensor(60),"[-0.4944933178203847, 0.90122409946242]"
61,tensor(61),"[1.708953528969045, -0.3269570048067221]"
62,tensor(62),"[0.22940581906252536, -0.984044154325183]"
63,tensor(63),"[0.7584772711823129, 1.59165573399577]"
64,tensor(64),"[-0.8955132495503356, -0.12396442846384154]"
65,tensor(65),"[1.4102758494350984, -0.8354060172860951]"
66,tensor(66),"[-1.763136859156672, -0.40320941261928384]"
67,tensor(67),"[-0.5182388396047384, -0.6036297739266234]"
68,tensor(68),"[-1.646772292819645, -0.15351772355180285]"
69,tensor(69),"[1.1146299745112789, -1.2804483764009877]"
70,tensor(70),"[-0.7083219234881991, 0.5281992167499723]"
71,tensor(71),"[1.4022881595020773, -0.8307220127659485]"
72,tensor(72),"[-0.8784909755713637, 0.568981923618016]"
73,tensor(73),"[0.6647335495364683, 0.15249190589745332]"
74,tensor(74),"[-0.8480231616952435, 0.4258636571003404]"
75,tensor(75),"[1.3938667039216504, -1.026098691591167]"
76,tensor(76),"[0.7871717914558689, 0.4168728990591215]"
77,tensor(77),"[1.1937564495044501, 1.3366738441956458]"
78,tensor(78),"[-0.30499463726562553, 1.8163214585905003]"
79,tensor(79),"[-0.7591091645152159, 0.6383143438240185]"
80,tensor(80),"[0.7132458658098539, -0.6622441753791191]"
81,tensor(81),"[-1.9697186451589512, 0.4083837211336242]"
82,tensor(82),"[-0.6573182450512763, 0.4912334214603099]"
83,tensor(83),"[0.886527556787431, -0.15030849535907845]"
84,tensor(84),"[0.7774680866642882, 0.4110887039622944]"
85,tensor(85),"[-1.2538306169796183, -1.0393987765279242]"
86,tensor(86),"[1.709864340764488, 0.18122627644861472]"
87,tensor(87),"[-1.5864652098755658, -0.946357576147148]"
88,tensor(88),"[-0.5394298812678354, 0.7053578941879153]"
89,tensor(89),"[0.8746495903928581, -0.24805368963784644]"
90,tensor(90),"[-1.392004241986511, 0.6810941341658615]"
91,tensor(91),"[1.539695137462558, 1.1148044315955539]"
92,tensor(92),"[0.8433022417080873, -0.47409515361251947]"
93,tensor(93),"[-0.2120581119676138, -1.7230606151291528]"
94,tensor(94),"[0.8979629324462938, -0.2971812156388442]"
95,tensor(95),"[0.16911926783252051, -0.8753588857960147]"
96,tensor(96),"[0.028656544821323966, -0.9643903265299848]"
97,tensor(97),"[0.10256998520997415, 0.8522364192504943]"
98,tensor(98),"[1.5543402743017982, -0.6677609816155576]"
99,tensor(99),"[0.6476515014210366, 0.5167386690317125]"
100,tensor(100),"[-0.7189212831648163, -0.6432486274866899]"
101,tensor(101),"[0.7760552498734278, -0.3752216898254876]"
102,tensor(102),"[-1.703643763778612, 0.1380387031952524]"
103,tensor(103),"[1.8582290304181803, -0.04662969989398805]"
104,tensor(104),"[1.832591483784035, -0.3961599109593105]"
105,tensor(105),"[0.7882608799875331, 0.7055359666236846]"
106,tensor(106),"[1.721827222057292, -0.5962764216390286]"
107,tensor(107),"[-1.19246239739117, -1.2632671273266842]"
108,tensor(108),"[-0.3917441271153767, -0.7871706695621357]"
109,tensor(109),"[-1.570035354603722, 0.8327655659192147]"
110,tensor(110),"[-0.6635520869599785, -1.6849350527555003]"
111,tensor(111),"[-1.7477555024407698, 0.1498877757113912]"
112,tensor(112),"[-1.8963660763255006, 0.34695962785120327]"
113,tensor(113),"[1.1515239321116961, -1.5039705821799445]"
114,tensor(114),"[1.254495307417379, 1.2551995124345445]"
115,tensor(115),"[-0.549930676629753, -0.6934757366045388]"
116,tensor(116),"[-0.01829612699568248, 1.7600295105252959]"
117,tensor(117),"[0.6290111440287015, -0.6245630314254303]"
118,tensor(118),"[-0.47869105729751343, 0.7137043523729732]"
119,tensor(119),"[0.4499086776369908, 1.5465784855079525]"
120,tensor(120),"[1.0305168177069732, 1.5889271534018157]"
121,tensor(121),"[0.47875098367955504, -1.839366226748402]"
122,tensor(122),"[0.8065228280857413, 0.15211327256227244]"
123,tensor(123),"[-1.6872332186201837, -0.23017630467317424]"
124,tensor(124),"[0.7911375734974089, -0.14337613915031006]"
125,tensor(125),"[0.03474716727896466, -1.7565404594999843]"
126,tensor(126),"[1.6371526129518552, 0.2354370920961368]"
127,tensor(127),"[0.5806637185917748, 0.8064303322271544]"
128,tensor(128),"[-0.7363912340168671, -0.6887857191316579]"
129,tensor(129),"[0.8694018568683571, -0.043170834712174776]"
130,tensor(130),"[1.710982007985098, 0.8005867315975732]"
131,tensor(131),"[-0.7381361275417682, -1.7450501828109197]"
132,tensor(132),"[0.7747800620205234, -1.4869098913006638]"
133,tensor(133),"[0.26588096201615485, 0.7973291928115883]"
134,tensor(134),"[-0.774792331903179, -0.14384534565669232]"
135,tensor(135),"[-0.27011836769966496, -0.6961507025340182]"
136,tensor(136),"[-0.9121260735021883, -0.19925753812868055]"
137,tensor(137),"[1.4489759685547792, -1.0235132118600794]"
138,tensor(138),"[0.9363034612862883, -0.05443511371183433]"
139,tensor(139),"[1.2983744947822455, 1.2205202981168408]"
140,tensor(140),"[0.20294121109820454, 0.9245849384184806]"
141,tensor(141),"[0.871543473082576, 0.1688237515580151]"
142,tensor(142),"[-1.0467422768421346, 1.5302386081626569]"
143,tensor(143),"[-1.8368559131377498, -0.7441014151316703]"
144,tensor(144),"[-0.988856074003565, -1.4448271645135415]"
145,tensor(145),"[1.8277078163382485, 0.17096290754163854]"
146,tensor(146),"[0.34915845686830954, 1.0319055774091022]"
147,tensor(147),"[-0.7119797579626294, -0.6560941240491992]"
148,tensor(148),"[-1.534742347572171, 0.943537399604898]"
149,tensor(149),"[0.8274909352253749, 0.10625187628678388]"
150,tensor(150),"[-0.371616524358305, 0.7673602281710596]"
151,tensor(151),"[-0.10228931318763021, -1.0920617805770785]"
152,tensor(152),"[0.8496063265042344, 1.4586935092346944]"
153,tensor(153),"[-1.3296504486172775, 1.1686600813300028]"
154,tensor(154),"[-0.2693692358752454, 0.8058261116336991]"
155,tensor(155),"[-1.87930541057455, -0.3876132678491844]"
156,tensor(156),"[-0.7652906996131135, -0.3881037235365771]"
157,tensor(157),"[-0.22310430389899646, 1.0445607689432002]"
158,tensor(158),"[-0.8591972438108899, 1.6242784497551095]"
159,tensor(159),"[-0.30900953790082064, 1.7522973407725717]"
160,tensor(160),"[0.6877957652245857, 0.6428557164969344]"
161,tensor(161),"[-0.7747930513176259, -0.07371516147270407]"
162,tensor(162),"[-0.5655568233735784, 1.6656624217025062]"
163,tensor(163),"[-0.5064650392978277, -0.6886609033609937]"
164,tensor(164),"[-0.011412113702739748, 0.6801760908585477]"
165,tensor(165),"[-0.06815917464176544, -0.7639731351187035]"
166,tensor(166),"[-0.851475458302436, 1.6223833007059465]"
167,tensor(167),"[-0.8853413980492518, 0.5144803714942532]"
168,tensor(168),"[-0.3528448597441023, -0.8950589914074486]"
169,tensor(169),"[-0.8411876752593693, 0.023647366414265406]"
170,tensor(170),"[-0.4253624278491869, 1.802035092074947]"
171,tensor(171),"[1.67097912853737, -0.06843135553461101]"
172,tensor(172),"[0.6722227351990038, -1.597555898171324]"
173,tensor(173),"[0.5555292182368501, -1.8672756025110187]"
174,tensor(174),"[0.5984558068005791, 0.6969902321355984]"
175,tensor(175),"[-0.9006330039809199, 0.19829400082511212]"
176,tensor(176),"[0.5728968450291662, -0.21403438380036272]"
177,tensor(177),"[-0.35439753854106504, -1.8742882904484324]"
178,tensor(178),"[0.285018229440505, -1.8532189420441232]"
179,tensor(179),"[-0.17334261340484597, 1.8050059192283516]"
180,tensor(180),"[-0.5178626216161706, -0.7156432868722797]"
181,tensor(181),"[0.5843850781442895, -1.7217444753453293]"
182,tensor(182),"[0.6417557414399736, -0.5723477321410961]"
183,tensor(183),"[0.10308695158561627, -1.005987324495389]"
184,tensor(184),"[0.7182931843043905, -0.4440710771704913]"
185,tensor(185),"[-1.3641376735226596, 1.1980503481422915]"
186,tensor(186),"[-1.3925502228038127, -0.9926015376060976]"
187,tensor(187),"[-0.5989937171742001, 0.4091418885434717]"
188,tensor(188),"[1.410540270727879, -1.1820525377814406]"
189,tensor(189),"[-0.5905935141752385, -1.7113390769968786]"
190,tensor(190),"[1.2330333245584657, -1.2775687411444496]"
191,tensor(191),"[-1.1225056935444764, 1.4134047170431976]"
192,tensor(192),"[0.49361450592764833, 1.5792485383033512]"
193,tensor(193),"[1.4881260400021321, 0.9340961636164711]"
194,tensor(194),"[0.85160157573241, 0.1075675880793424]"
195,tensor(195),"[-0.8754946396770383, -1.5502674689843297]"
196,tensor(196),"[0.6270745004243966, -0.49728830362458637]"
197,tensor(197),"[0.49965268522288026, 0.790123760203698]"
198,tensor(198),"[-1.677507011740209, 0.3504459071542122]"
199,tensor(199),"[-0.22187528264263384, -0.8231891741231077]"
